Data,TemMaxPrevisao,TemMaxEstacao
01/06/2020,30,26
02/06/2020,30,27
03/06/2020,31,28
04/06/2020,31,28
05/06/2020,32,29
06/06/2020,31,29
07/06/2020,31,26
08/06/2020,31,28
09/06/2020,31,29
10/06/2020,30,29
11/06/2020,30,28
12/06/2020,30,26
13/06/2020,30,28
14/06/2020,31,28
15/06/2020,32,29
16/06/2020,32,29
17/06/2020,30,26
18/06/2020,31,28
19/06/2020,32,29
20/06/2020,32,29
21/06/2020,31,30
22/06/2020,32,30
23/06/2020,31,27
24/06/2020,32,28
25/06/2020,32,30
26/06/2020,31,29
27/06/2020,32,29
28/06/2020,31,29
29/06/2020,30,28
30/06/2020,31,27
01/07/2020,31,28
02/07/2020,31,29
03/07/2020,30,28
04/07/2020,32,28
05/07/2020,30,28
06/07/2020,30,29
07/07/2020,31,29
08/07/2020,31,29
09/07/2020,32,29
10/07/2020,31,28
11/07/2020,31,28
12/07/2020,32,29
14/07/2020,32,30
15/07/2020,33,29
16/07/2020,34,30
17/07/2020,33,30
18/07/2020,32,29
19/07/2020,33,30
21/07/2020,34,30
22/07/2020,33,30
23/07/2020,33,30
24/07/2020,32,29
25/07/2020,33,29
26/07/2020,33,29
28/07/2020,33,29
29/07/2020,34,30
30/07/2020,34,30
31/07/2020,34,31
