DOY,Rad,Vmed,Tmed,Urmed,Eto
1,22.6,0.6,21.3,63.2,5.40
2,17.9,0.5,22.2,68.8,5.20
3,19.2,1.0,23.3,72.4,3.68
4,13.2,1.2,21.6,80.6,2.64
5,18.3,0.8,22.0,77.4,3.97
6,24.9,0.9,23.8,70.3,4.50
7,23.1,1.2,23.9,68.8,3.92
8,25.5,1.2,23.5,61.4,4.40
9,20.9,0.6,22.8,64.1,5.40
10,16.2,1.0,22.5,77.0,3.51
11,19.0,1.0,22.7,78.1,3.61
12,12.2,0.7,21.2,88.2,3.22
13,11.3,0.5,20.0,91.9,3.40
14,20.5,1.2,21.6,81.6,3.28
15,14.4,0.8,20.8,85.7,3.29
16,11.1,0.9,20.7,90.1,2.59
17,9.2,0.8,20.1,92.3,2.45
18,7.7,0.6,19.7,94.1,2.61
19,8.9,0.4,18.9,95.7,3.30
20,16.3,0.9,21.9,80.5,3.39
21,17.8,1.2,22.4,77.6,3.14
22,11.0,0.8,20.3,86.1,2.98
23,12.7,0.7,20.5,87.8,3.17
24,9.4,0.4,20.5,91.8,3.13
25,12.5,0.5,21.3,87.7,3.82
26,10.1,0.4,20.7,91.5,3.46
27,14.9,0.6,21.4,85.9,3.73
28,23.6,1.3,23.4,71.4,3.50
29,22.7,1.1,22.2,69.0,4.00
30,21.6,1.0,21.9,73.4,3.94
31,17.7,1.1,21.8,75.8,3.35
32,13.7,1.0,21.4,81.0,2.92
33,17.4,1.0,21.0,85.9,3.14
34,15.0,0.8,21.9,83.9,3.10
35,10.9,0.6,20.6,93.5,2.95
36,12.0,0.7,21.3,87.8,2.96
37,20.1,1.0,21.8,84.4,3.53
38,13.5,0.8,22.0,85.1,3.06
39,10.6,0.7,21.0,89.8,2.95
40,15.4,0.7,22.1,86.3,3.38
41,11.7,1.1,21.2,90.8,2.41
42,9.4,1.2,20.5,95.4,2.08
43,11.9,2.3,20.7,91.5,1.90
44,10.7,1.9,20.5,89.1,1.91
45,13.9,1.8,20.9,79.7,2.34
46,20.8,1.3,20.4,75.1,3.50
47,10.7,0.8,20.5,84.9,2.72
48,16.4,0.6,21.4,81.1,3.92
